ENTE,DADOS,"ANO DESP > REC",RECEITAS,DESPESAS,DIFERENÇA,"SALDO FINAL","C. NORMAL","C. COMPLEM.",TOTAL
"GOVERNO DA PARAÍBA",2012,2012,"872857208,12","1191043442,25","318186234,13","-190378116,89",22,*,22
"ÁGUA BRANCA",2012,2016,"967330,44","1054210,45","86880,01","2972692,87","6,91","7,04","13,95"
"ALAGOA NOVA",2014,2014,"3634284,91","5197644,99","1563360,08","1476613,52","14,87","9,04","23,91"
ALAGOINHA,2014,2014,"1412755,87","1799691,18","386935,31","9592189,13","11,43","13,85","25,28"
"ALGODÃO DE JANDAÍRA",2013,2019,"804929,94","806315,86","1385,92","2861046,04","10,75","7,78","18,53"
ALHANDRA,2014,*,*,*,*,*,"12,01","2,5","14,51"
ARARA,2013,2017,"1523890,08","1574380,15","50490,07","1455547,18","14,2","12,28","26,48"
BANANEIRAS,2014,2024,"1745171,08","2289788,85","544617,77","29963533,59","11,72","5,23","16,95"
"BARRA DE SANTA ROSA",2013,2016,"3171428,82","3216913,18","45484,36","1093795,72","15,52","2,07","17,59"
BAYEUX,2014,*,*,*,*,*,"13,58","8,9","31,41"
"BELÉM DO BREJO DO CRUZ",2014,2015,"823746,7","834352,8","10606,1","1098582,54","9,66","17,91","27,57"
BELÉM,2014,*,*,*,*,*,"13,41",5,"18,41"
"BOA VISTA",2014,*,*,*,*,*,"12,99",0,"12,99"
"BOM JESUS",2013,2014,"870523,79","968478,09","97954,3","146915,03","7,69","21,32","29,01"
"BONITO DE SANTA FÉ",2009,2011,"785710,75","789319,01","3608,26","643759,56","8,99","26,91","35,9"
BORBOREMA,2003,*,*,*,*,*,"18,38","0,87","19,25"
"BREJO DO CRUZ",2014,*,*,*,*,*,"13,31",3,"16,31"
CAAPORÃ,2014,2014,"3365128,77","4539709,95","1174581,18","1526782,75","14,33","5,75","20,08"
CABEDELO,2014,2022,"15351621,92","16050466,48","698844,56","139368215,64","12,11",6,"18,11"
"CACHOEIRA DOS ÍNDIOS",2013,2013,"1059083,49","1251337,25","192253,76","235898,44","6,89","15,32","22,21"
CACIMBAS,2013,2025,"2165861,24","2168086,85","2225,61","18068826,91","45,56",*,"45,56"
CAJAZEIRAS,2013,2016,"6854429,02","7401906,12","547477,1","12403976,64","10,69","11,65","22,34"
"CALDAS BRANDÃO",2012,2014,"393256,62",462534,"69277,38","3067771,05","10,05","8,52","18,57"
"CAMPINA GRANDE",2014,2020,"69855858,01","74490979,37","4635121,36","63279463,93","11,89","10,11",22
CONDE,2014,2019,"1489279,37","1791938,51","302659,14","5580999,9","13,82","5,99","19,81"
CUITÉ,2013,*,*,*,*,*,"12,72","3,87","16,59"
CUITEGI,2014,2024,1593690,"1621617,27","27927,27","6614533,73","13,05","11,16","24,21"
DESTERRO,2013,2018,"918527,51","947300,54","28773,03","4000974,57","9,95","8,17","18,12"
DIAMANTE,2011,*,*,*,*,*,"11,22","37,69","48,91"
"DONA INÊS",2011,2013,"662376,09","683932,5","21556,41","5499903,16","11,03","5,7","16,73"
ESPERANÇA,2012,*,*,*,*,*,"17,07","4,04","21,11"
"FREI MARTINHO",2014,2014,"602340,69","689016,82","86676,13","700826,21","10,81",9,"19,81"
GUARABIRA,2014,2021,"8321327,12","8662343,54","341016,42","42991408,93","13,09","9,71","22,8"
JACARAÚ,2014,*,*,*,*,*,14,6,20
"JOÃO PESSOA",2014,2029,"38532138,74","38646232,29","114093,55","825234695,52",11,"0,11","11,11"
JUAZEIRINHO,2012,*,*,*,*,*,"7,82","4,42","12,24"
JURIPIRANGA,2002,*,*,*,*,*,"16,7","3,57","20,27"
JURU,2009,2020,"932581,75","1091808,61","159226,86","5892483,21","12,41","26,36","38,77"
"LAGOA SECA",2014,*,*,*,*,*,11,10,21
LUCENA,2014,2015,"2453476,79","2516765,66","63288,87","14157345,28","20,2",6,"26,2"
MARI,2014,*,*,*,*,*,"15,26","8,26","23,52"
MARIZÓPOLIS,2013,*,*,*,*,*,"14,26",0,"14,26"
MONTADAS,2013,2036,"524363,45","541490,66","17127,21","8682989,03","13,71","28,12","41,83"
NAZAREZINHO,2014,2015,"1288609,09","1368149,14","79540,05","397560,98","5,09","18,46","23,55"
"NOVA PALMEIRA",2010,2017,"1003222,62","1023254,23","20031,61","2657765,41","8,27","17,76","26,03"
PATOS,2014,*,*,*,*,*,"13,96",6,"19,96"
PAULISTA,2014,*,*,*,*,*,"12,84",3,"15,84"
"PEDRA LAVRADA",2014,2018,"1389479,71","1598953,11","209473,4","5280151,83","14,84","6,01","20,85"
"PEDRAS DE FOGO",2013,2030,"9061402,81","9337565,16","276162,35","52234541,02","13,72","7,68","21,4"
PICUÍ,2014,2014,"2094037,48","2938867,39","844829,91","1856534,01","13,72","5,49","19,21"
PILÕES,2014,2015,"787554,69","926146,42","138591,73","188736,31","4,77","18,44","23,21"
PILÕEZINHOS,2012,2012,"565185,28","705228,85","140043,57","398174,02","10,95","27,65","38,6"
PIRPIRITUBA,2014,2029,"2578192,52","2769433,97","191241,45","26607438,07","15,78","0,31","16,09"
"POÇO DANTAS",2014,2029,"1057678,35","1104807,33","47128,98","11875092,6","16,5","4,3","20,8"
"POÇO DE JOSÉ DE MOURA",2014,2037,"789437,38","809252,12","19814,74","20593143,63","13,8",0,"13,8"
"PRINCESA ISABEL",2013,2020,"2201274,24","2209030,8","7756,56","7113728,21","6,14","12,58","18,72"
QUEIMADAS,2014,*,*,*,*,*,11,16,27
REMÍGIO,2014,2014,"3006430,55","3076517,63","70087,08","8930719,66","15,02","5,47","20,49"
RIACHÃO,2012,2023,"353661,07","377197,6","23536,53","4671747,93","11,45","4,36","15,81"
"SANTA CRUZ",2011,2011,"590855,69","631258,11","40402,42","443451,64","11,6","21,18","32,78"
"SANTA HELENA",2014,2020,"1145605,44","1156233,41","10627,97","4928695,87","13,68","2,32",16
"SANTA LUZIA",2014,2014,"1075093,38","2922281,49","1847188,11","854175,81","15,97","6,02","21,99"
"SANTA RITA",2014,2014,"19744086,59","25293078,25","5548991,66","46900422,42","12,57","2,7","15,27"
"SÃO BENTO",2013,*,*,*,*,*,"14,59",3,"17,59"
"SÃO JOSÉ DA LAGOA TAPADA",2011,2015,"713516,87","786982,89","73466,02","3350521,92","10,52","3,58","14,1"
"SÃO JOSÉ DOS RAMOS",2009,*,*,*,*,*,"10,82","3,17","13,99"
"SÃO SEBASTIÃO DE LAGOA DE ROÇA",2012,2031,"2579077,27","2716775,25","137697,98","57824382,35","15,1","1,63","16,73"
SAPÉ,2014,2014,"3929902,77","5946840,5","2016937,73","-1229435,38","14,05","3,2","17,25"
"SERRA BRANCA",2014,2014,"1733952,96","2257959,01","524006,05","-484146,1","14,29",3,"17,29"
"SERRA DA RAIZ",2002,*,*,*,*,,"13,7",26,"39,7"
SERTÃOZINHO,2012,2021,"530244,2","535719,41","5475,21","8217861,34","8,56","1,74","10,3"
SOLEDADE,2013,2019,"2027063,41","2062761,44","35698,03","11276868,35","11,75","7,04","18,79"
SUMÉ,2014,*,*,*,*,*,11,10,21
TAPEROÁ,2014,*,*,*,*,*,"15,12",6,"21,12"
ZABELÊ,2007,2017,"154568,09","175767,06","21198,97","902609,39",11,"9,32","20,32"
